SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
HDFCMFGETF,EQ,2833.7,7859268.75,2785
HDFCNIFETF,EQ,1074.49,39868.6,37
HDFCSENETF,EQ,3570,53579.5,15
HDIL,EQ,52.05,481393130.2,9219697
HEG,EQ,2698.65,1371029645,499428
HEIDELBERG,EQ,156.2,37923359.75,238901
HERCULES,EQ,131.75,2399010.15,18218
HERITGFOOD,EQ,683.9,9817320.7,14231
HESTERBIO,EQ,1655.4,10726584.9,6446
HEXATRADEX,BE,59.2,458291.05,7606
HEXAWARE,EQ,333.3,254030234.6,759023
HFCL,EQ,28.45,103664814.8,3627771
HGS,EQ,872.1,37203147.6,41834
HIGHGROUND,EQ,11.9,3146825.4,260197
HIKAL,EQ,229.5,18500520,79135
HIL,EQ,1775.15,24467374.7,13671
HILTON,EQ,34.45,1495298.65,42565
HIMATSEIDE,EQ,361.05,8248487.1,22830
HINDCOMPOS,EQ,465.05,2279924,4831
HINDCOPPER,EQ,76.4,110159238.6,1423420
HINDDORROL,EQ,5.5,117375.5,21341
