ISIN,BSE,Company,NSE,Sector,Industry,Link
INE121E01018,533148,JSW Energy,JSWENERGY,POWER,ENERGY,/india/stockpricequote/powergenerationdistribution/jswenergy/JE01
INE220B01022,522287,Kalpataru Power,KALPATPOWR,POWER,ENERGY,/india/stockpricequote/powertransmissionequipment/kalpatarupowertransmission/KPT
INE848E01016,533098,NHPC,NHPC,POWER,ENERGY,/india/stockpricequote/powergenerationdistribution/nhpc/N07
INE589A01014,513683,NLC India,NLCINDIA,POWER,ENERGY,/india/stockpricequote/powergenerationdistribution/neyvelilignitecorporation/NLC
INE733E01010,532555,NTPC,NTPC,POWER,ENERGY,/india/stockpricequote/powergenerationdistribution/ntpc/NTP
INE752E01010,532898,Power Grid Corp,POWERGRID,POWER,ENERGY,/india/stockpricequote/powergenerationdistribution/powergridcorporationindia/PGC
INE036A01016,500390,Reliance Infra,RELINFRA,POWER,ENERGY,/india/stockpricequote/powergenerationdistribution/relianceinfrastructure/RI38
INE614G01033,532939,Reliance Power,RPOWER,POWER,ENERGY,/india/stockpricequote/powergenerationdistribution/reliancepower/RP
INE002L01015,533206,SJVN,SJVN,POWER,ENERGY,/india/stockpricequote/powergenerationdistribution/sjvn/S11
INE245A01021,500400,Tata Power,TATAPOWER,POWER,ENERGY,/india/stockpricequote/powergenerationdistribution/tatapowercompany/TPC
INE813H01021,532779,Torrent Power,TORNTPOWER,POWER,ENERGY,/india/stockpricequote/powergenerationdistribution/torrentpower/TP14
INE029A01011,500547,BPCL,BPCL,REFINERIES,ENERGY,/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC
INE178A01016,500110,Chennai Petro,CHENNPETRO,REFINERIES,ENERGY,/india/stockpricequote/refineries/chennaipetroleumcorporation/CPC02
INE094A01015,500104,HPCL,HINDPETRO,REFINERIES,ENERGY,/india/stockpricequote/refineries/hindustanpetroleumcorporation/HPC
INE242A01010,530965,IOC,IOC,REFINERIES,ENERGY,/india/stockpricequote/refineries/indianoilcorporation/IOC
INE002S01010,539957,Mahanagar Gas,MGL,REFINERIES,ENERGY,/india/stockpricequote/refineries/mahanagargas/MG02
INE103A01014,500109,MRPL,MRPL,REFINERIES,ENERGY,/india/stockpricequote/refineries/mangalorerefinerypetrochemicals/MRP
INE002A01018,500325,Reliance,RELIANCE,REFINERIES,ENERGY,/india/stockpricequote/refineries/relianceindustries/RI
INE877F01012,532524,PTC India,PTC,TRADING,ENERGY,/india/stockpricequote/trading/ptcindia/PTC02
INE208C01025,500003,Aegis Logistics,AEGISCHEM,TRANSPORT,ENERGY,/india/stockpricequote/transport/aegislogistics/AL9
INE814H01011,,Adani Power Ltd.,ADANIPOWER,,ENERGY,
INE931S01010,,Adani Transmission Ltd.,ADANITRANS,,ENERGY,
INE351F01018,,Jaiprakash Power Ventures Ltd.,JPPOWER,,ENERGY,
INE399K01017,,RattanIndia Power Ltd.,RTNPOWER,,ENERGY,
INE085A01013,500085,Chambal Fert,CHAMBLFERT,FERTILISERS,FERTILISERS & PESTICIDES,/india/stockpricequote/fertilisers/chambalfertiliserschemicals/CFC
INE169A01031,506395,Coromandel Int,COROMANDEL,FERTILISERS,FERTILISERS & PESTICIDES,/india/stockpricequote/fertilisers/coromandelinternational/CI45
INE026A01025,500690,GSFC,GSFC,FERTILISERS,FERTILISERS & PESTICIDES,/india/stockpricequote/fertilisers/gujaratstatefertilizerscompany/GSF
